Ort,Bundesland,Land
Merchweiler,Saarland,Deutschland
Friesdorf,Nordrhein-Westfalen,Deutschland
Dreba,Thüringen,Deutschland
Giesen,Niedersachsen,Deutschland
Heikendorf,Schleswig-Holstein,Deutschland
Gärtringen,Baden-Württemberg,Deutschland
OT Rebesgrün,NA,NA
Oppenheim,Rheinland-Pfalz,Deutschland
Balingen,Baden-Württemberg,Deutschland
Norden,Niedersachsen,Deutschland
Essen,Nordrhein-Westfalen,Deutschland
Mülheim an der Ruhr,Nordrhein-Westfalen,Deutschland
Seegebiet Mansfelder Land,Sachsen-Anhalt,Deutschland
Stadthagen,Niedersachsen,Deutschland
Waldems,Hessen,Deutschland
Osnabrück,Niedersachsen,Deutschland
Germering,Bayern,Deutschland
Waidhaus,Bayern,Deutschland
Taura,Sachsen,Deutschland
Schellerten,Niedersachsen,Deutschland
Lüneburg,Niedersachsen,Deutschland
Michendorf,Brandenburg,Deutschland
Henningsdorf,Niedersachsen,Deutschland
Laaber,Bayern,Deutschland
Dillingen,Bayern,Deutschland
Steinhagen,Nordrhein-Westfalen,Deutschland
Mannheim,Baden-Württemberg,Deutschland
Hanau,Hessen,Deutschland
Roßlau,Sachsen-Anhalt,Deutschland
Bad Oldesloe,Schleswig-Holstein,Deutschland
Blankenhain,Thüringen,Deutschland
Gleichen,Niedersachsen,Deutschland
Atzendorf,Sachsen-Anhalt,Deutschland
Marburg,Hessen,Deutschland
Frankfurt am Main,Hessen,Deutschland
Gauting,Bayern,Deutschland
Everswinkel,Nordrhein-Westfalen,Deutschland
Rodgau,Hessen,Deutschland
Jüterbog,Brandenburg,Deutschland
Schipkau Meuro,Brandenburg,Deutschland
Frankenberg (Eder),Hessen,Deutschland
Schweich,Rheinland-Pfalz,Deutschland
Zwickau,Sachsen,Deutschland
CH- Pontresina,NA,NA
Greven,Nordrhein-Westfalen,Deutschland
Kürnach,Bayern,Deutschland
Wilsdruff,Sachsen,Deutschland
Roetgen,Nordrhein-Westfalen,Deutschland
Bexbach,Saarland,Deutschland
Pforzheim,Baden-Württemberg,Deutschland
Berlin,Berlin,Deutschland
Dinslaken,Nordrhein-Westfalen,Deutschland
Siegburg,Nordrhein-Westfalen,Deutschland
Hohen Neuendorf,Brandenburg,Deutschland
Lagendorf,Sachsen-Anhalt,Deutschland
Wallenhorst,Niedersachsen,Deutschland
Bork-Lellichow,NA,NA
Saarbrücken,Saarland,Deutschland
Markkleeberg,Sachsen,Deutschland
Finsterwalde,Brandenburg,Deutschland
Lampertheim,Hessen,Deutschland
Moritzberg,Sachsen,Deutschland
Waldershof,Bayern,Deutschland
Wallerfangen,Saarland,Deutschland
Wernigerode,Sachsen-Anhalt,Deutschland
Gudensberg,Hessen,Deutschland
Ihlow,Niedersachsen,Deutschland
Radeberg,Sachsen,Deutschland
Tübingen,Baden-Württemberg,Deutschland
Saarwellingen,Saarland,Deutschland
Großweitzschen,Sachsen,Deutschland
Bruck,Bayern,Deutschland
Landau,Rheinland-Pfalz,Deutschland
Remseck am Neckar,Baden-Württemberg,Deutschland
Eurasburg,Bayern,Deutschland
Sylt-Ost,Nordrhein-Westfalen,Deutschland
Klein Rönnau,Schleswig-Holstein,Deutschland
Parsdorf,Bayern,Deutschland
Leese,Niedersachsen,Deutschland
Ettlingen,Baden-Württemberg,Deutschland
Steimbke,Niedersachsen,Deutschland
Graach,Rheinland-Pfalz,Deutschland
Gersheim,Saarland,Deutschland
Maßbach,Bayern,Deutschland
Friesoythe,Niedersachsen,Deutschland
Großenhain,Sachsen,Deutschland
Ganderkesee,Niedersachsen,Deutschland
Schwedt/Oder,Brandenburg,Deutschland
Fuchstal,Bayern,Deutschland
Margetshöchheim,Bayern,Deutschland
Jesenwang,Bayern,Deutschland
Schindellegi,NA,NA
Stein bei Nürnberg,Bayern,Deutschland
Saalstadt,Rheinland-Pfalz,Deutschland
Ratingen,Nordrhein-Westfalen,Deutschland
Uffenheim,Bayern,Deutschland
Althengstett,Baden-Württemberg,Deutschland
Heusweiler,Saarland,Deutschland
Heiligenhaus,Nordrhein-Westfalen,Deutschland
Kernen im Remstal,Baden-Württemberg,Deutschland
Achim,Niedersachsen,Deutschland
Parkstein,Bayern,Deutschland
CH-Engelberg,NA,NA
Friedrichsdorf,Hessen,Deutschland
Heßdorf,Bayern,Deutschland
Schöfweg,Bayern,Deutschland
Chieming,Bayern,Deutschland
